2025-06-09 17:22:28,141 - INFO - [4H] XRP-USDT-SWAP 2025-05-07 12:00 整 趋势=uptrend, OB={'top': 2.0979, 'bottom': 2.0889}
2025-06-09 17:22:47,414 - INFO - [4H] XRP-USDT-SWAP 2025-05-10 00:00 整 趋势=uptrend, OB={'top': 2.1256, 'bottom': 2.1111}
2025-06-09 17:22:49,331 - INFO - [4H] XRP-USDT-SWAP 2025-05-10 04:00 整 趋势=uptrend, OB={'top': 2.1256, 'bottom': 2.1111}
2025-06-09 17:22:50,388 - INFO - [4H] XRP-USDT-SWAP 2025-05-10 08:00 整 趋势=uptrend, OB={'top': 2.1256, 'bottom': 2.1111}
2025-06-09 17:22:51,613 - INFO - [4H] XRP-USDT-SWAP 2025-05-10 12:00 整 趋势=uptrend, OB={'top': 2.1256, 'bottom': 2.1111}
2025-06-09 17:22:52,829 - INFO - [4H] XRP-USDT-SWAP 2025-05-10 16:00 整 趋势=uptrend, OB={'top': 2.1256, 'bottom': 2.1111}
2025-06-09 17:22:53,973 - INFO - [4H] XRP-USDT-SWAP 2025-05-10 20:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:22:55,112 - INFO - [4H] XRP-USDT-SWAP 2025-05-11 00:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:22:56,215 - INFO - [4H] XRP-USDT-SWAP 2025-05-11 04:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:22:57,412 - INFO - [4H] XRP-USDT-SWAP 2025-05-11 08:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:06,867 - INFO - [4H] XRP-USDT-SWAP 2025-05-11 12:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:07,977 - INFO - [4H] XRP-USDT-SWAP 2025-05-11 16:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:09,034 - INFO - [4H] XRP-USDT-SWAP 2025-05-11 20:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:10,283 - INFO - [4H] XRP-USDT-SWAP 2025-05-12 00:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:11,540 - INFO - [4H] XRP-USDT-SWAP 2025-05-12 04:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:12,636 - INFO - [4H] XRP-USDT-SWAP 2025-05-12 08:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:13,868 - INFO - [4H] XRP-USDT-SWAP 2025-05-12 12:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:15,117 - INFO - [4H] XRP-USDT-SWAP 2025-05-12 16:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:16,157 - INFO - [4H] XRP-USDT-SWAP 2025-05-12 20:00 整 趋势=uptrend, OB={'top': 2.3948, 'bottom': 2.3491}
2025-06-09 17:23:17,246 - INFO - [4H] XRP-USDT-SWAP 2025-05-13 00:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:18,493 - INFO - [4H] XRP-USDT-SWAP 2025-05-13 04:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:19,893 - INFO - [4H] XRP-USDT-SWAP 2025-05-13 08:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:20,987 - INFO - [4H] XRP-USDT-SWAP 2025-05-13 12:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:22,291 - INFO - [4H] XRP-USDT-SWAP 2025-05-13 16:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:23,572 - INFO - [4H] XRP-USDT-SWAP 2025-05-13 20:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:24,703 - INFO - [4H] XRP-USDT-SWAP 2025-05-14 00:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:26,072 - INFO - [4H] XRP-USDT-SWAP 2025-05-14 04:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:27,227 - INFO - [4H] XRP-USDT-SWAP 2025-05-14 08:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:28,445 - INFO - [4H] XRP-USDT-SWAP 2025-05-14 12:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:29,534 - INFO - [4H] XRP-USDT-SWAP 2025-05-14 16:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:30,712 - INFO - [4H] XRP-USDT-SWAP 2025-05-14 20:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:32,044 - INFO - [4H] XRP-USDT-SWAP 2025-05-15 00:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:33,084 - INFO - [4H] XRP-USDT-SWAP 2025-05-15 04:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:34,291 - INFO - [4H] XRP-USDT-SWAP 2025-05-15 08:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:35,502 - INFO - [4H] XRP-USDT-SWAP 2025-05-15 12:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:36,845 - INFO - [4H] XRP-USDT-SWAP 2025-05-15 16:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:38,057 - INFO - [4H] XRP-USDT-SWAP 2025-05-15 20:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:39,381 - INFO - [4H] XRP-USDT-SWAP 2025-05-16 00:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:40,679 - INFO - [4H] XRP-USDT-SWAP 2025-05-16 04:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:41,781 - INFO - [4H] XRP-USDT-SWAP 2025-05-16 08:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:43,039 - INFO - [4H] XRP-USDT-SWAP 2025-05-16 12:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:44,409 - INFO - [4H] XRP-USDT-SWAP 2025-05-16 16:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:45,639 - INFO - [4H] XRP-USDT-SWAP 2025-05-16 20:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:46,746 - INFO - [4H] XRP-USDT-SWAP 2025-05-17 00:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:49,202 - INFO - [4H] XRP-USDT-SWAP 2025-05-17 04:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:50,283 - INFO - [4H] XRP-USDT-SWAP 2025-05-17 08:00 整 趋势=uptrend, OB={'top': 2.3853, 'bottom': 2.3461}
2025-06-09 17:23:51,337 - INFO - [4H] XRP-USDT-SWAP 2025-05-17 12:00 整 趋势=downtrend, OB={'top': 2.424, 'bottom': 2.4062}
2025-06-09 17:23:52,714 - INFO - [4H] XRP-USDT-SWAP 2025-05-17 16:00 整 趋势=downtrend, OB={'top': 2.424, 'bottom': 2.4062}
2025-06-09 17:23:54,105 - INFO - [4H] XRP-USDT-SWAP 2025-05-17 20:00 整 趋势=downtrend, OB={'top': 2.424, 'bottom': 2.4062}
2025-06-09 17:23:55,176 - INFO - [4H] XRP-USDT-SWAP 2025-05-18 00:00 整 趋势=downtrend, OB={'top': 2.424, 'bottom': 2.4062}
2025-06-09 17:23:56,388 - INFO - [4H] XRP-USDT-SWAP 2025-05-18 04:00 整 趋势=downtrend, OB={'top': 2.3791, 'bottom': 2.3687}
2025-06-09 17:23:57,504 - INFO - [4H] XRP-USDT-SWAP 2025-05-18 08:00 整 趋势=downtrend, OB={'top': 2.3791, 'bottom': 2.3687}
2025-06-09 17:23:58,667 - INFO - [4H] XRP-USDT-SWAP 2025-05-18 12:00 整 趋势=downtrend, OB={'top': 2.3791, 'bottom': 2.3687}
2025-06-09 17:23:59,747 - INFO - [4H] XRP-USDT-SWAP 2025-05-18 16:00 整 趋势=downtrend, OB={'top': 2.3791, 'bottom': 2.3687}
2025-06-09 17:24:00,812 - INFO - [4H] XRP-USDT-SWAP 2025-05-18 20:00 整 趋势=downtrend, OB={'top': 2.3791, 'bottom': 2.3687}
2025-06-09 17:24:03,261 - INFO - [4H] XRP-USDT-SWAP 2025-05-19 00:00 整 趋势=downtrend, OB={'top': 2.3791, 'bottom': 2.3687}
2025-06-09 17:24:04,500 - INFO - [4H] XRP-USDT-SWAP 2025-05-19 04:00 整 趋势=uptrend, OB={'top': 2.3519, 'bottom': 2.3321}
2025-06-09 17:24:06,323 - INFO - [4H] XRP-USDT-SWAP 2025-05-19 08:00 整 趋势=uptrend, OB={'top': 2.3519, 'bottom': 2.3321}
2025-06-09 17:24:07,674 - INFO - [4H] XRP-USDT-SWAP 2025-05-19 12:00 整 趋势=uptrend, OB={'top': 2.3519, 'bottom': 2.3321}
2025-06-09 17:24:09,004 - INFO - [4H] XRP-USDT-SWAP 2025-05-19 16:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:10,105 - INFO - [4H] XRP-USDT-SWAP 2025-05-19 20:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:11,407 - INFO - [4H] XRP-USDT-SWAP 2025-05-20 00:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:12,680 - INFO - [4H] XRP-USDT-SWAP 2025-05-20 04:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:13,797 - INFO - [4H] XRP-USDT-SWAP 2025-05-20 08:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:14,904 - INFO - [4H] XRP-USDT-SWAP 2025-05-20 12:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:16,047 - INFO - [4H] XRP-USDT-SWAP 2025-05-20 16:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:17,256 - INFO - [4H] XRP-USDT-SWAP 2025-05-20 20:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:18,456 - INFO - [4H] XRP-USDT-SWAP 2025-05-21 00:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:19,558 - INFO - [4H] XRP-USDT-SWAP 2025-05-21 04:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:21,004 - INFO - [4H] XRP-USDT-SWAP 2025-05-21 08:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:22,262 - INFO - [4H] XRP-USDT-SWAP 2025-05-21 12:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:23,887 - INFO - [4H] XRP-USDT-SWAP 2025-05-21 16:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:25,023 - INFO - [4H] XRP-USDT-SWAP 2025-05-21 20:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:26,162 - INFO - [4H] XRP-USDT-SWAP 2025-05-22 00:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:27,378 - INFO - [4H] XRP-USDT-SWAP 2025-05-22 04:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:28,627 - INFO - [4H] XRP-USDT-SWAP 2025-05-22 08:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:29,854 - INFO - [4H] XRP-USDT-SWAP 2025-05-22 12:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:31,083 - INFO - [4H] XRP-USDT-SWAP 2025-05-22 16:00 整 趋势=downtrend, OB={'top': 2.4268, 'bottom': 2.3677}
2025-06-09 17:24:32,199 - INFO - [4H] XRP-USDT-SWAP 2025-05-22 20:00 整 趋势=uptrend, OB={'top': 2.4166, 'bottom': 2.4041}
2025-06-09 17:24:33,480 - INFO - [4H] XRP-USDT-SWAP 2025-05-23 00:00 整 趋势=uptrend, OB={'top': 2.4166, 'bottom': 2.4041}
2025-06-09 17:24:34,648 - INFO - [4H] XRP-USDT-SWAP 2025-05-23 04:00 整 趋势=uptrend, OB={'top': 2.4166, 'bottom': 2.4041}
2025-06-09 17:24:35,884 - INFO - [4H] XRP-USDT-SWAP 2025-05-23 08:00 整 趋势=uptrend, OB={'top': 2.4166, 'bottom': 2.4041}
2025-06-09 17:24:37,018 - INFO - [4H] XRP-USDT-SWAP 2025-05-23 12:00 整 趋势=uptrend, OB={'top': 2.4317, 'bottom': 2.4212}
2025-06-09 17:24:38,254 - INFO - [4H] XRP-USDT-SWAP 2025-05-23 16:00 整 趋势=uptrend, OB={'top': 2.4317, 'bottom': 2.4212}
2025-06-09 17:24:39,568 - INFO - [4H] XRP-USDT-SWAP 2025-05-23 20:00 整 趋势=uptrend, OB={'top': 2.4317, 'bottom': 2.4212}
2025-06-09 17:24:40,699 - INFO - [4H] XRP-USDT-SWAP 2025-05-24 00:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:41,965 - INFO - [4H] XRP-USDT-SWAP 2025-05-24 04:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:43,005 - INFO - [4H] XRP-USDT-SWAP 2025-05-24 08:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:44,210 - INFO - [4H] XRP-USDT-SWAP 2025-05-24 12:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:45,480 - INFO - [4H] XRP-USDT-SWAP 2025-05-24 16:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:47,096 - INFO - [4H] XRP-USDT-SWAP 2025-05-24 20:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:48,370 - INFO - [4H] XRP-USDT-SWAP 2025-05-25 00:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:49,516 - INFO - [4H] XRP-USDT-SWAP 2025-05-25 04:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:50,693 - INFO - [4H] XRP-USDT-SWAP 2025-05-25 08:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:51,884 - INFO - [4H] XRP-USDT-SWAP 2025-05-25 12:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:53,046 - INFO - [4H] XRP-USDT-SWAP 2025-05-25 16:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:54,284 - INFO - [4H] XRP-USDT-SWAP 2025-05-25 20:00 整 趋势=downtrend, OB={'top': 2.473, 'bottom': 2.4299}
2025-06-09 17:24:55,391 - INFO - [4H] XRP-USDT-SWAP 2025-05-26 00:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:24:56,687 - INFO - [4H] XRP-USDT-SWAP 2025-05-26 04:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:24:58,125 - INFO - [4H] XRP-USDT-SWAP 2025-05-26 08:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:24:59,332 - INFO - [4H] XRP-USDT-SWAP 2025-05-26 12:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:00,524 - INFO - [4H] XRP-USDT-SWAP 2025-05-26 16:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:01,884 - INFO - [4H] XRP-USDT-SWAP 2025-05-26 20:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:03,083 - INFO - [4H] XRP-USDT-SWAP 2025-05-27 00:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:04,371 - INFO - [4H] XRP-USDT-SWAP 2025-05-27 04:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:05,609 - INFO - [4H] XRP-USDT-SWAP 2025-05-27 08:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:06,926 - INFO - [4H] XRP-USDT-SWAP 2025-05-27 12:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:08,201 - INFO - [4H] XRP-USDT-SWAP 2025-05-27 16:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:09,862 - INFO - [4H] XRP-USDT-SWAP 2025-05-27 20:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:10,996 - INFO - [4H] XRP-USDT-SWAP 2025-05-28 00:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:12,368 - INFO - [4H] XRP-USDT-SWAP 2025-05-28 04:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:13,404 - INFO - [4H] XRP-USDT-SWAP 2025-05-28 08:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:14,616 - INFO - [4H] XRP-USDT-SWAP 2025-05-28 12:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:15,885 - INFO - [4H] XRP-USDT-SWAP 2025-05-28 16:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:17,096 - INFO - [4H] XRP-USDT-SWAP 2025-05-28 20:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:18,301 - INFO - [4H] XRP-USDT-SWAP 2025-05-29 00:00 整 趋势=downtrend, OB={'top': 2.3509, 'bottom': 2.3349}
2025-06-09 17:25:19,423 - INFO - [4H] XRP-USDT-SWAP 2025-05-29 04:00 整 趋势=downtrend, OB={'top': 2.3481, 'bottom': 2.3415}
2025-06-09 17:25:20,683 - INFO - [4H] XRP-USDT-SWAP 2025-05-29 08:00 整 趋势=downtrend, OB={'top': 2.3481, 'bottom': 2.3415}
2025-06-09 17:25:21,938 - INFO - [4H] XRP-USDT-SWAP 2025-05-29 12:00 整 趋势=downtrend, OB={'top': 2.3481, 'bottom': 2.3415}
2025-06-09 17:25:23,243 - INFO - [4H] XRP-USDT-SWAP 2025-05-29 16:00 整 趋势=downtrend, OB={'top': 2.3481, 'bottom': 2.3415}
2025-06-09 17:25:24,400 - INFO - [4H] XRP-USDT-SWAP 2025-05-29 20:00 整 趋势=downtrend, OB={'top': 2.3481, 'bottom': 2.3415}
2025-06-09 17:25:25,649 - INFO - [4H] XRP-USDT-SWAP 2025-05-30 00:00 整 趋势=downtrend, OB={'top': 2.3481, 'bottom': 2.3415}
2025-06-09 17:25:26,929 - INFO - [4H] XRP-USDT-SWAP 2025-05-30 04:00 整 趋势=downtrend, OB={'top': 2.3481, 'bottom': 2.3415}
2025-06-09 17:25:28,216 - INFO - [4H] XRP-USDT-SWAP 2025-05-30 08:00 整 趋势=downtrend, OB={'top': 2.3481, 'bottom': 2.3415}
2025-06-09 17:25:29,647 - INFO - [4H] XRP-USDT-SWAP 2025-05-30 12:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:30,794 - INFO - [4H] XRP-USDT-SWAP 2025-05-30 16:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:32,149 - INFO - [4H] XRP-USDT-SWAP 2025-05-30 20:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:33,414 - INFO - [4H] XRP-USDT-SWAP 2025-05-31 00:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:34,984 - INFO - [4H] XRP-USDT-SWAP 2025-05-31 04:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:36,060 - INFO - [4H] XRP-USDT-SWAP 2025-05-31 08:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:37,312 - INFO - [4H] XRP-USDT-SWAP 2025-05-31 12:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:38,555 - INFO - [4H] XRP-USDT-SWAP 2025-05-31 16:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:39,869 - INFO - [4H] XRP-USDT-SWAP 2025-05-31 20:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:41,065 - INFO - [4H] XRP-USDT-SWAP 2025-06-01 00:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:42,328 - INFO - [4H] XRP-USDT-SWAP 2025-06-01 04:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:43,466 - INFO - [4H] XRP-USDT-SWAP 2025-06-01 08:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:45,661 - INFO - [4H] XRP-USDT-SWAP 2025-06-01 12:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:47,844 - INFO - [4H] XRP-USDT-SWAP 2025-06-01 16:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:49,022 - INFO - [4H] XRP-USDT-SWAP 2025-06-01 20:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:51,542 - INFO - [4H] XRP-USDT-SWAP 2025-06-02 00:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:52,762 - INFO - [4H] XRP-USDT-SWAP 2025-06-02 04:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:53,922 - INFO - [4H] XRP-USDT-SWAP 2025-06-02 08:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:55,143 - INFO - [4H] XRP-USDT-SWAP 2025-06-02 12:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:57,278 - INFO - [4H] XRP-USDT-SWAP 2025-06-02 16:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:58,594 - INFO - [4H] XRP-USDT-SWAP 2025-06-02 20:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:25:59,896 - INFO - [4H] XRP-USDT-SWAP 2025-06-03 00:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:26:00,988 - INFO - [4H] XRP-USDT-SWAP 2025-06-03 04:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:26:01,994 - INFO - [4H] XRP-USDT-SWAP 2025-06-03 08:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:26:03,361 - INFO - [4H] XRP-USDT-SWAP 2025-06-03 12:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:26:05,405 - INFO - [4H] XRP-USDT-SWAP 2025-06-03 16:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:26:06,540 - INFO - [4H] XRP-USDT-SWAP 2025-06-03 20:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
2025-06-09 17:26:07,578 - INFO - [4H] XRP-USDT-SWAP 2025-06-04 00:00 整 趋势=downtrend, OB={'top': 2.2901, 'bottom': 2.273}
